date,deflection,temperature,OW1,OW2,T1(1-3),T1(2-4),T2(1-3),T2(2-4),T3(1-3),T3(2-4),T4(1-3),T4(2-4),T5(1-3),T5(2-4),T6(1-3),T6(2-4),number,SO1(1.5),SO1(2.5),SO1(3.5),SO2(0.5),SO2(10.5),SO2(11.0)
108/3/1,582.50 ,14.8 ,-1.54 ,-6.52 ,0.000840 ,-0.000200 ,0.002020 ,0.000400 ,-0.001580 ,0.002220 ,-0.000160 ,0.000300 ,0.000840 ,-0.001840 ,-0.000300 ,0.000400 ,53021,0.31 ,0.33 ,0.33 ,0,0,0
108/4/10,586.67 ,23.3 ,-1.12 ,-5.65 ,0.000720 ,-0.000240 ,0.002020 ,0.000520 ,-0.001620 ,0.002280 ,-0.000160 ,0.000300 ,0.000820 ,-0.001840 ,-0.000280 ,0.000440 ,44691,0.40 ,0.37 ,0.37 ,0,0,0
108/5/7,583.30 ,15.0 ,-1.38 ,-6.44 ,0.000860 ,-0.000260 ,0.002000 ,0.000560 ,-0.001580 ,0.002260 ,-0.000200 ,0.000300 ,0.000740 ,-0.001860 ,-0.000260 ,0.000400 ,36440,0.31 ,0.25 ,0.26 ,0,0,0
108/6/3,587.75 ,27.2 ,-1.68 ,-6.32 ,0.000800 ,-0.000340 ,0.001960 ,0.000560 ,-0.001520 ,0.002200 ,-0.000280 ,0.000400 ,0.000680 ,-0.001840 ,-0.000340 ,0.000440 ,37911,0.32 ,0.24 ,0.30 ,0,0,0
108/7/2,588.88 ,27.4 ,-1.68 ,-6.06 ,0.000640 ,-0.000280 ,0.002080 ,0.000640 ,-0.001740 ,0.002260 ,-0.000160 ,0.000460 ,0.000840 ,-0.001860 ,-0.000460 ,0.000380 ,17727,0.35 ,0.29 ,0.34 ,0.05 ,0.05 ,0.07 
108/8/5,589.09 ,28.4 ,-0.70 ,-5.20 ,0.000580 ,-0.000220 ,0.001980 ,0.000520 ,-0.001560 ,0.002420 ,-0.000020 ,0.000440 ,0.000760 ,-0.001820 ,-0.000320 ,0.000300 ,32481,0.25 ,0.17 ,0.27 ,0.12 ,0.02 ,0.05 
108/9/9,588.52 ,26.2 ,-1.33 ,-5.77 ,0.000580 ,-0.000240 ,0.002020 ,0.000460 ,-0.001660 ,0.002460 ,-0.000120 ,0.000440 ,0.000940 ,-0.001860 ,-0.000260 ,0.000440 ,25601,0.23 ,0.16 ,0.21 ,0.26 ,0.12 ,0.15 
108/10/7,587.93 ,22.9 ,-1.35 ,-5.87 ,0.000520 ,-0.000320 ,0.002040 ,0.000420 ,-0.001680 ,0.002540 ,-0.000180 ,0.000460 ,0.000980 ,-0.001800 ,-0.000220 ,0.000420 ,26476,0.43 ,0.37 ,0.39 ,0.23 ,0.03 ,0.08 
108/11/1,585.55 ,19.7 ,-0.64 ,-4.67 ,0.000540 ,-0.000320 ,0.002080 ,0.000460 ,-0.001600 ,0.002460 ,-0.000120 ,0.000520 ,0.000900 ,-0.001860 ,-0.000160 ,0.000440 ,34833,0.46 ,0.40 ,0.32 ,0.33 ,0.08 ,0.13 
109/2/4,582.95 ,13.6 ,-1.35 ,-5.33 ,0.000440 ,-0.000300 ,0.002060 ,0.000540 ,-0.001480 ,0.002420 ,-0.000200 ,0.000400 ,0.000840 ,-0.001900 ,-0.000260 ,0.000540 ,37152,0.36 ,0.32 ,0.36 ,0.39 ,0.19 ,0.23 
109/3/5,581.74 ,12.5 ,-1.75 ,-5.74 ,-0.000100 ,0.000040 ,-0.000140 ,0.000180 ,0.000120 ,0.000020 ,-0.000300 ,0.000220 ,-0.000180 ,0.000100 ,-0.000180 ,0.000260 ,37573,0.25 ,0.25 ,0.28 ,0.40 ,0.11 ,0.17 
109/4/8,583.60 ,14.2 ,-1.55 ,-5.66 ,-0.000020 ,0.000020 ,-0.000060 ,0.000240 ,0.000120 ,0.000000 ,-0.000320 ,0.000060 ,-0.000380 ,0.000100 ,-0.000220 ,0.000280 ,45797,0.32 ,0.33 ,0.35 ,0.32 ,0.04 ,0.08 
